epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,528.076,1.73083,2.00681,1.97335,0.15042,0.32692,0.09297,0.02456,2.95102,6.44871,3.91561,0.00332846,0.00332846,0.0700439
2,1029.62,1.56398,1.72393,1.82502,0.55357,0.525,0.43485,0.18294,2.06098,1.89205,2.39534,0.00644195,0.00644195,0.039824
3,1524.1,1.46691,1.55694,1.75038,0.38766,0.63368,0.43089,0.19367,2.03446,1.8744,2.38953,0.00933545,0.00933545,0.00938418
4,2016.47,1.40704,1.43738,1.70194,0.64466,0.53462,0.63154,0.27946,2.07824,1.43727,2.38938,0.00901,0.00901,0.00901
5,2508.57,1.33937,1.33041,1.64956,0.79435,0.75,0.81226,0.33009,1.95582,1.27571,2.23874,0.00868,0.00868,0.00868
6,3000.3,1.29068,1.27136,1.61335,0.64802,0.79662,0.74291,0.35154,1.69729,1.17681,1.97947,0.00835,0.00835,0.00835
7,3490.55,1.28016,1.20027,1.60389,0.60609,0.76044,0.77089,0.37235,1.80788,1.31495,2.09733,0.00802,0.00802,0.00802
8,3982.54,1.22525,1.13991,1.56909,0.90046,0.85,0.92664,0.46561,1.64706,1.04884,1.91871,0.00769,0.00769,0.00769
9,4475.94,1.21326,1.11461,1.55448,0.67734,0.72885,0.67867,0.32042,1.89634,1.14018,2.13734,0.00736,0.00736,0.00736
10,4969.02,1.19055,1.07254,1.53609,0.76255,0.80096,0.82639,0.40349,1.68596,1.22172,1.98154,0.00703,0.00703,0.00703
11,5462.99,1.16877,1.03661,1.5158,0.87327,0.83486,0.88239,0.45503,1.62907,1.02062,1.91776,0.0067,0.0067,0.0067
12,5956.32,1.16214,1.01909,1.51045,0.87433,0.84288,0.9057,0.39123,1.75183,1.04173,1.99833,0.00637,0.00637,0.00637
13,6450.97,1.13745,0.99014,1.49788,0.91091,0.85532,0.93192,0.51052,1.50069,0.94269,1.76379,0.00604,0.00604,0.00604
14,6946.36,1.12643,0.97895,1.48663,0.91099,0.83077,0.90961,0.41705,1.73664,1.04275,1.99138,0.00571,0.00571,0.00571
15,7441.34,1.1094,0.94776,1.47586,0.88024,0.82981,0.91042,0.44785,1.64151,0.98116,1.92493,0.00538,0.00538,0.00538
16,7936.21,1.10697,0.93903,1.46292,0.85796,0.84217,0.92062,0.47133,1.58362,0.93453,1.82087,0.00505,0.00505,0.00505
17,8430.76,1.09215,0.91637,1.4489,0.89172,0.85517,0.92065,0.4436,1.74981,0.9329,1.88946,0.00472,0.00472,0.00472
18,8925,1.07338,0.90034,1.44211,0.93045,0.86182,0.94044,0.48018,1.64943,0.88353,1.82003,0.00439,0.00439,0.00439
19,9418.19,1.05222,0.8719,1.42755,0.93282,0.8625,0.93986,0.47607,1.67798,0.84551,1.81698,0.00406,0.00406,0.00406
20,9909.33,1.04783,0.86968,1.42134,0.93517,0.87381,0.94379,0.50395,1.57995,0.84195,1.75111,0.00373,0.00373,0.00373
21,10402,1.06665,0.80226,1.4798,0.95463,0.86989,0.94657,0.49318,1.6662,0.83527,1.81901,0.0034,0.0034,0.0034
22,10896.5,1.05539,0.78162,1.47026,0.94201,0.84808,0.94999,0.51625,1.55552,0.83438,1.71426,0.00307,0.00307,0.00307
23,11391.3,1.03458,0.75919,1.45644,0.94688,0.84135,0.94887,0.4992,1.62384,0.85021,1.76972,0.00274,0.00274,0.00274
24,11886,1.02208,0.74901,1.45219,0.97337,0.87874,0.95511,0.50478,1.61409,0.81816,1.77616,0.00241,0.00241,0.00241
25,12380.6,1.00332,0.73479,1.43544,0.96246,0.875,0.96093,0.53327,1.60048,0.79264,1.74765,0.00208,0.00208,0.00208
26,12875.3,0.99566,0.72234,1.42281,0.94904,0.87981,0.95438,0.52053,1.58158,0.83097,1.75204,0.00175,0.00175,0.00175
27,13370.3,0.98193,0.70881,1.41696,0.94906,0.88077,0.95799,0.51534,1.62953,0.80032,1.78849,0.00142,0.00142,0.00142
28,13864.6,0.95877,0.69046,1.39918,0.94959,0.88173,0.95646,0.5273,1.59169,0.81194,1.77085,0.00109,0.00109,0.00109
29,14358.2,0.95264,0.68466,1.39566,0.95706,0.87885,0.95205,0.54017,1.54657,0.77399,1.70188,0.00076,0.00076,0.00076
30,14849.9,0.93778,0.67741,1.38185,0.95075,0.87248,0.95498,0.52144,1.59205,0.79594,1.7596,0.00043,0.00043,0.00043
